blueWins	blueWardsPlaced	blueWardsDestroyed	blueFirstBlood	blueKills	blueEliteMonsters	blueDragons	blueHeralds	blueTowersDestroyed	blueTotalGold	blueTotalExperience	blueTotalMinionsKilled	blueTotalJungleMinionsKilled	redWardsPlaced	redWardsDestroyed	redFirstBlood	redKills	redEliteMonsters	redDragons	redHeralds	redTowersDestroyed	redTotalGold	redTotalExperience	redTotalMinionsKilled	redTotalJungleMinionsKilled
0	28	2	1	9	0	0	0	0	17210	17039	195	36	15	6	0	6	0	0	0	0	16567	17047	197	55
0	12	1	0	5	0	0	0	0	14712	16265	174	43	12	1	1	5	2	1	1	1	17620	17438	240	52
0	15	0	0	7	1	1	0	0	16113	16221	186	46	15	3	1	11	0	0	0	0	17285	17254	203	28
0	43	1	0	4	1	0	1	0	15157	17954	201	55	15	2	1	5	0	0	0	0	16478	17961	235	47
0	75	4	0	6	0	0	0	0	16400	18543	210	57	17	2	1	6	1	1	0	0	17404	18313	225	67
1	18	0	0	5	1	1	0	0	15899	18161	225	42	36	5	1	3	0	0	0	0	15201	18060	221	59
1	18	3	1	7	1	1	0	0	16874	16967	225	53	57	1	0	6	0	0	0	0	14463	15404	164	35
0	16	2	0	5	0	0	0	0	15305	16138	209	48	15	0	1	13	1	1	0	0	17920	16938	157	54
0	16	3	0	7	0	0	0	0	16401	18527	189	61	15	2	1	7	2	1	1	0	18380	19298	240	53
1	13	1	1	4	1	1	0	0	15057	16805	220	39	16	2	0	5	0	0	0	0	16605	18379	247	43
0	20	3	1	4	0	0	0	0	15474	16611	231	28	15	2	0	4	1	1	0	0	15143	18196	216	51
0	33	2	1	11	1	0	1	0	16695	18507	157	40	17	1	0	11	0	0	0	0	18200	19142	188	52
1	18	1	1	7	1	1	0	0	17865	19102	238	53	12	1	0	1	0	0	0	0	14591	17443	240	50
0	14	3	0	4	1	0	1	0	14979	17213	210	52	20	3	1	9	0	0	0	0	18393	18354	229	51
1	15	3	1	4	0	0	0	0	15722	17896	224	51	102	1	0	4	0	0	0	0	16192	18083	242	48
0	17	1	0	3	0	0	0	0	15015	16974	209	53	18	3	1	7	0	0	0	0	17011	18778	237	51
1	14	1	1	10	0	0	0	0	19733	20862	263	56	13	2	0	2	1	1	0	0	14505	17484	210	64
0	43	3	0	3	1	0	1	0	14852	16888	203	54	17	14	1	7	0	0	0	0	16827	18233	218	53
1	21	4	1	5	0	0	0	0	16282	17378	213	49	19	3	0	4	2	1	1	0	15400	16866	228	52
0	11	3	0	5	0	0	0	0	14994	17924	188	48	15	1	1	9	0	0	0	0	18149	20697	219	56
1	14	3	1	11	1	1	0	0	18606	19254	214	45	12	2	0	6	0	0	0	0	16080	17629	225	48
0	13	1	0	4	0	0	0	0	15878	16945	203	43	15	3	1	13	1	1	0	0	18713	19766	209	45
0	17	2	0	4	0	0	0	0	15773	17562	238	56	16	3	1	6	1	1	0	0	17027	18129	231	60
0	78	4	0	4	2	1	1	0	15906	19219	238	67	15	3	1	3	0	0	0	0	15500	17936	220	64
1	33	3	0	6	0	0	0	0	16515	17223	208	45	18	3	1	9	0	0	0	0	17535	16730	197	36
0	17	1	0	4	0	0	0	0	15415	16047	204	44	19	2	1	8	1	1	0	0	17887	17114	221	36
1	18	1	0	8	1	1	0	0	17178	17854	209	44	10	3	1	6	0	0	0	0	15918	17909	233	36
0	19	3	1	7	0	0	0	0	17226	18982	228	61	14	4	0	4	1	1	0	0	15369	16967	202	49
0	105	5	1	8	1	1	0	0	17474	17436	217	53	65	3	0	6	0	0	0	0	16154	17849	223	40
0	18	5	0	3	1	1	0	0	14905	17974	233	52	18	3	1	8	0	0	0	0	18187	19621	225	52
1	22	7	1	9	1	1	0	0	18132	18076	228	40	21	4	0	4	0	0	0	0	15249	15965	227	36
1	17	4	1	5	2	1	1	0	16053	17406	218	51	15	2	0	2	0	0	0	0	14350	15710	206	48
0	12	3	0	6	0	0	0	0	16438	16989	203	32	19	2	1	4	1	1	0	0	15830	17074	206	44
0	15	2	1	5	0	0	0	0	15634	16355	201	45	14	1	0	4	1	1	0	0	15563	16714	222	38
1	40	2	0	6	0	0	0	0	16085	19076	204	56	15	1	1	4	1	1	0	0	15810	18204	223	62
0	24	3	0	3	0	0	0	0	14981	17082	235	52	17	2	1	4	2	1	1	0	15790	16444	218	50
0	12	4	0	2	1	1	0	0	15421	19276	217	84	14	2	1	8	0	0	0	0	18192	20401	234	64
0	20	2	1	5	1	0	1	0	15665	17716	203	48	40	4	0	6	1	1	0	0	17395	18952	214	67
0	11	3	0	7	1	0	1	0	17528	19609	234	68	18	1	1	9	1	1	0	0	18432	18232	227	40
0	18	2	0	3	1	0	1	0	15032	16832	213	48	36	3	1	6	1	1	0	0	16715	18195	236	44
0	28	3	0	4	0	0	0	0	15483	17362	222	48	41	0	1	11	1	1	0	0	18508	19195	213	39
1	36	1	0	10	0	0	0	0	19226	20118	231	44	16	2	1	6	0	0	0	0	16222	17818	185	39
1	18	3	0	9	1	1	0	0	16945	17806	204	36	17	2	1	6	0	0	0	0	15371	17045	194	54
1	12	2	1	5	0	0	0	0	15000	16493	233	16	19	1	0	5	0	0	0	0	16036	17916	221	44
