id,matchId,blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueDragonKills,blueTowersDestroyed,redChampKills,redHeraldKills,redDragonKills,redTowersDestroyed
0,3493250918.0,0,24575.0,349.0,89.0,8.6,25856.0,346.0,80.0,9.2,6.0,1.0,0.0,1.0,12.0,2.0,0.0,1.0
1,3464936341.0,0,27210.0,290.0,36.0,9.0,28765.0,294.0,92.0,9.4,20.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0
2,3428425921.0,1,32048.0,346.0,92.0,9.4,25305.0,293.0,84.0,9.4,17.0,3.0,0.0,0.0,11.0,0.0,0.0,4.0
3,3428347390.0,0,20261.0,223.0,60.0,8.2,30429.0,356.0,107.0,9.4,7.0,0.0,0.0,3.0,16.0,3.0,0.0,0.0
4,3428350940.0,1,30217.0,376.0,110.0,9.8,23889.0,334.0,60.0,8.8,16.0,3.0,0.0,0.0,8.0,0.0,0.0,2.0
5,3494458885.0,1,25470.0,362.0,82.0,9.2,22856.0,319.0,86.0,8.8,9.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
6,3463320642.0,1,25391.0,350.0,96.0,9.2,23236.0,345.0,80.0,8.6,8.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0
7,3463280042.0,0,28946.0,367.0,65.0,9.2,26528.0,311.0,63.0,8.8,15.0,2.0,0.0,1.0,14.0,1.0,0.0,1.0
8,3462718876.0,1,26928.0,379.0,80.0,9.6,23065.0,362.0,95.0,9.2,11.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0
9,3462733928.0,1,26079.0,302.0,106.0,9.0,27275.0,347.0,91.0,9.4,9.0,1.0,0.0,1.0,10.0,2.0,0.0,1.0
10,3494594463.0,0,23215.0,307.0,70.0,9.0,26823.0,390.0,89.0,9.0,9.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0
11,3464834050.0,1,27944.0,319.0,94.0,9.0,21329.0,311.0,84.0,8.8,13.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0
12,3431783366.0,1,24979.0,364.0,107.0,9.4,26341.0,344.0,92.0,9.6,6.0,2.0,0.0,1.0,10.0,1.0,0.0,1.0
13,3399726949.0,0,23095.0,210.0,84.0,8.0,31472.0,344.0,115.0,9.2,10.0,0.0,0.0,4.0,15.0,3.0,0.0,0.0
14,3399742211.0,1,27466.0,341.0,97.0,8.8,23844.0,332.0,92.0,8.8,12.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0
15,3501697287.0,1,26804.0,410.0,66.0,9.2,24590.0,388.0,95.0,9.4,6.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0
16,3500141669.0,1,27754.0,372.0,102.0,9.6,24831.0,347.0,104.0,9.4,10.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0
17,3497105469.0,0,23213.0,328.0,94.0,9.0,28497.0,381.0,100.0,9.8,6.0,2.0,0.0,1.0,13.0,1.0,0.0,0.0
18,3486983506.0,0,26523.0,338.0,99.0,9.2,27328.0,350.0,104.0,9.4,9.0,1.0,0.0,0.0,11.0,2.0,0.0,1.0
19,3485738231.0,1,33120.0,405.0,93.0,9.6,24330.0,309.0,66.0,8.6,19.0,2.0,0.0,1.0,7.0,1.0,0.0,3.0
20,3501065091.0,1,26300.0,399.0,67.0,9.0,22318.0,335.0,69.0,8.8,9.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
21,3501083417.0,1,30173.0,342.0,71.0,9.4,22061.0,319.0,59.0,8.4,18.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0
22,3473329630.0,1,28783.0,366.0,96.0,9.4,24777.0,354.0,88.0,9.0,14.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0
23,3473278600.0,1,26220.0,321.0,72.0,9.4,26277.0,300.0,93.0,9.4,15.0,2.0,0.0,2.0,10.0,1.0,0.0,0.0
24,3473277297.0,1,33839.0,272.0,82.0,9.2,22947.0,233.0,64.0,8.2,30.0,2.0,0.0,0.0,8.0,0.0,0.0,4.0
25,3511843782.0,0,27268.0,324.0,80.0,9.2,30316.0,319.0,89.0,9.4,15.0,0.0,0.0,2.0,15.0,2.0,0.0,0.0
26,3511789649.0,0,29587.0,279.0,20.0,8.8,30869.0,286.0,75.0,9.0,20.0,0.0,0.0,1.0,24.0,3.0,0.0,1.0
27,3511760297.0,0,26144.0,342.0,84.0,9.4,27653.0,336.0,85.0,9.4,12.0,1.0,0.0,1.0,14.0,1.0,0.0,0.0
28,3509254065.0,1,30055.0,310.0,84.0,9.8,25079.0,285.0,76.0,8.6,19.0,1.0,0.0,0.0,11.0,2.0,0.0,2.0
29,3494149817.0,0,23154.0,296.0,77.0,8.4,28260.0,326.0,79.0,9.2,7.0,0.0,0.0,1.0,17.0,3.0,0.0,0.0
30,3494046558.0,0,24011.0,341.0,94.0,9.2,22970.0,365.0,90.0,9.0,5.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0
31,3494090896.0,0,29270.0,325.0,97.0,9.2,25944.0,375.0,76.0,9.0,16.0,3.0,0.0,1.0,7.0,0.0,0.0,3.0
32,3493995932.0,0,25334.0,327.0,82.0,8.8,28059.0,345.0,79.0,8.8,8.0,1.0,0.0,2.0,12.0,2.0,0.0,2.0
33,3493607949.0,1,25527.0,342.0,63.0,8.8,29973.0,380.0,83.0,9.6,11.0,3.0,0.0,1.0,16.0,0.0,0.0,0.0
34,3511127920.0,1,27773.0,314.0,107.0,9.2,27097.0,332.0,90.0,9.6,13.0,2.0,0.0,1.0,13.0,1.0,0.0,1.0
35,3497668973.0,0,24990.0,346.0,80.0,8.8,29843.0,329.0,84.0,9.2,6.0,2.0,0.0,3.0,17.0,1.0,0.0,1.0
36,3497666139.0,0,22103.0,323.0,74.0,9.0,28284.0,343.0,136.0,9.8,5.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0
37,3497624204.0,0,26998.0,336.0,76.0,9.2,25556.0,349.0,88.0,9.4,11.0,3.0,0.0,0.0,9.0,0.0,0.0,2.0
38,3496822056.0,1,31559.0,338.0,81.0,9.6,25242.0,307.0,63.0,8.6,20.0,2.0,0.0,0.0,12.0,1.0,0.0,2.0
39,3501021356.0,0,24008.0,299.0,70.0,8.8,31545.0,389.0,68.0,10.0,10.0,1.0,0.0,1.0,23.0,1.0,0.0,0.0
40,3500889654.0,1,25790.0,330.0,88.0,9.2,27074.0,366.0,73.0,9.0,9.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0
41,3500885194.0,1,29102.0,378.0,82.0,9.0,23064.0,331.0,75.0,8.6,14.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0
42,3484012618.0,0,22140.0,281.0,60.0,8.4,35643.0,336.0,90.0,9.4,6.0,0.0,0.0,5.0,28.0,3.0,0.0,0.0
43,3483868150.0,1,32692.0,325.0,88.0,9.6,27039.0,315.0,81.0,9.0,23.0,2.0,0.0,0.0,13.0,0.0,0.0,2.0
44,3483885733.0,0,23610.0,262.0,63.0,8.4,32615.0,341.0,88.0,9.8,10.0,0.0,0.0,3.0,22.0,3.0,0.0,0.0
45,3480891936.0,0,24554.0,333.0,75.0,9.0,24499.0,364.0,60.0,9.0,10.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0
46,3492383242.0,0,29310.0,343.0,72.0,9.0,26714.0,316.0,76.0,9.2,17.0,2.0,0.0,0.0,13.0,1.0,0.0,1.0
47,3491895162.0,0,22853.0,316.0,78.0,8.6,26931.0,328.0,89.0,9.0,3.0,1.0,0.0,1.0,10.0,2.0,0.0,1.0
48,3491941034.0,1,25037.0,347.0,98.0,9.6,26213.0,365.0,102.0,9.6,8.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0
